%% logfile from robot Ella (8)
% Ella (8)
%  1    time 3.693 sec
%  2 .. 22 Edge sensor: left -2.666372 1, right 1.416858 1, values 1752 2494 2803 2904 2774 2210 1649 1239, white 1, used 1, LEDhigh=1, xb=0 xw=1 xbc=0 xwc=1 lvl=5 lvr=5       whitelevel=[2276 2639 2892 2996 2872 2671 2521 2194]       blacklevel=[0 0 0 0 0 0 19 33]
% 23 32 ctrl edge, ref=0.5, m=0.5, m2=1.48512, uf=0, r2=0.5, ep=-0.197025,up=-0.0658951, ui=0, u1=-0.0658951, u=-0.0658951
3.695 -2.6763 1 1.4386 1  1765 2622 2883 3071 2785 2212 1650 1145  1 1 1 0 1 0 1 5 5 0.5 0.5 1.46562 0 0.5 -0.193123 -0.0648828 0 -0.0648828 -0.0648828 
3.697 -2.6804 1 1.5153 1  1770 2446 2716 3088 2753 2217 1725 1186  1 1 1 0 1 0 1 5 5 0.5 0.5 1.4465 0 0.5 -0.189299 -0.0638899 0 -0.0638899 -0.0638899 
3.699 -2.6747 1 1.4669 1  1764 2315 2692 2954 2772 2246 1653 1215  1 1 1 0 0 0 0 5 5 0.5 0.5 1.42775 0 0.5 -0.185551 -0.062916 0 -0.062916 -0.062916 
3.701 -2.6732 1 1.3901 1  1766 2365 2810 2865 2792 2186 1641 1228  1 1 1 0 0 0 0 5 5 0.5 0.5 1.40938 0 0.5 -0.181877 -0.0619608 0 -0.0619608 -0.0619608 
3.703 -2.6817 1 1.5795 1  1766 2380 2810 2956 2754 2362 1667 1127  1 1 1 0 1 0 2 5 5 0.5 0.5 1.39138 0 0.5 -0.178275 -0.0610238 0 -0.0610238 -0.0610238 
3.705 -2.6806 1 1.4246 1  1777 2232 2810 2872 2789 2199 1653 1282  1 1 1 0 0 0 0 5 5 0.5 0.5 1.37372 0 0.5 -0.174745 -0.0601047 0 -0.0601047 -0.0601047 
3.707 -2.6794 1 1.4357 1  1780 2419 2812 2880 2755 2243 1621 1259  1 1 1 0 0 0 0 5 5 0.5 0.5 1.35642 0 0.5 -0.171285 -0.0592032 0 -0.0592032 -0.0592032 
3.709 -2.6710 1 1.4674 1  1769 2249 2696 2916 2776 2230 1708 1311  1 1 1 0 0 0 0 5 5 0.5 0.5 1.33946 0 0.5 -0.167893 -0.0583189 0 -0.0583189 -0.0583189 
3.711 -2.6780 1 1.4765 1  1775 2404 2819 3078 2776 2222 1702 1166  1 1 1 0 0 0 0 5 5 0.5 0.5 1.32284 0 0.5 -0.164568 -0.0574514 0 -0.0574514 -0.0574514 
3.713 -2.6788 1 1.4214 1  1780 2460 2808 3207 2813 2180 1700 1216  1 1 1 0 0 0 0 5 5 0.5 0.5 1.30655 0 0.5 -0.16131 -0.0566006 0 -0.0566006 -0.0566006 
3.715 -2.6825 1 1.3671 1  1783 2408 2808 2989 2769 2142 1676 1200  1 1 1 0 0 0 0 5 5 0.5 0.5 1.29058 0 0.5 -0.158116 -0.0557659 0 -0.0557659 -0.0557659 
3.717 -2.6849 1 1.5061 1  1784 2361 2813 3118 2777 2242 1697 1176  1 1 1 0 1 0 1 5 5 0.5 0.5 1.27492 0 0.5 -0.154985 -0.0549471 0 -0.0549471 -0.0549471 
3.719 -2.6759 1 1.4668 1  1771 2331 2823 2908 2629 2241 1669 1220  1 1 1 0 0 0 0 5 5 0.5 0.5 1.25958 0 0.5 -0.151916 -0.0541439 0 -0.0541439 -0.0541439 
3.721 -2.6799 1 1.2884 1  1781 2358 2788 2840 2733 2132 1553 1231  1 1 1 0 0 0 0 5 5 0.5 0.5 1.24454 0 0.5 -0.148907 -0.0533559 0 -0.0533559 -0.0533559 
3.723 -2.6810 1 1.6750 1  1774 2343 2802 2875 2745 2350 1787 1197  1 1 1 0 1 0 2 5 5 0.5 0.5 1.22979 0 0.5 -0.145959 -0.052583 0 -0.052583 -0.052583 
3.725 -2.6897 1 1.5198 1  1790 2373 2810 2850 2735 2379 1572 1212  1 1 1 0 1 0 2 5 5 0.5 0.5 1.21534 0 0.5 -0.143069 -0.0518247 0 -0.0518247 -0.0518247 
3.727 -2.6932 1 1.5305 1  1798 2445 2818 3047 2747 2336 1627 1176  1 1 1 0 1 0 2 5 5 0.5 0.5 1.20118 0 0.5 -0.140236 -0.0510808 0 -0.0510808 -0.0510808 
3.729 -2.6860 1 1.4778 1  1785 2399 2808 2973 2623 2234 1667 1202  1 1 1 0 0 0 0 5 5 0.5 0.5 1.18729 0 0.5 -0.137459 -0.050351 0 -0.050351 -0.050351 
3.731 -2.6902 1 1.4719 1  1799 2402 2814 2942 2655 2245 1655 1201  1 1 1 0 1 0 1 5 5 0.5 0.5 1.17368 0 0.5 -0.134737 -0.049635 0 -0.049635 -0.049635 
3.733 -2.6920 1 1.5055 1  1800 2426 2821 2964 2740 2278 1657 1178  1 1 1 0 0 0 1 5 5 0.5 0.5 1.16034 0 0.5 -0.132069 -0.0489326 0 -0.0489326 -0.0489326 
3.735 -2.6925 1 1.4876 1  1794 2404 2813 3002 2643 2216 1684 1178  1 1 1 0 0 0 0 5 5 0.5 0.5 1.14727 0 0.5 -0.129454 -0.0482435 0 -0.0482435 -0.0482435 
3.737 -2.6912 1 1.3578 1  1812 2376 2813 2876 2745 2205 1542 1242  1 1 1 0 1 0 1 5 5 0.5 0.5 1.13445 0 0.5 -0.12689 -0.0475674 0 -0.0475674 -0.0475674 
3.739 -2.6837 1 1.5603 1  1804 2280 2821 2893 2741 2334 1726 1253  1 1 1 0 0 0 1 5 5 0.5 0.5 1.12189 0 0.5 -0.124377 -0.046904 0 -0.046904 -0.046904 
3.741 -2.6984 1 1.4546 1  1809 2450 2822 2989 2746 2202 1660 1136  1 1 1 0 1 0 1 5 5 0.5 0.5 1.10957 0 0.5 -0.121915 -0.0462532 0 -0.0462532 -0.0462532 
3.743 -2.6948 1 1.3632 1  1808 2402 2827 3052 2742 2189 1545 1233  1 1 1 0 0 0 1 5 5 0.5 0.5 1.0975 0 0.5 -0.1195 -0.0456146 0 -0.0456146 -0.0456146 
