%% logfile from robot Silke (54)
% log is empty
% Silke (54)
%  1    time 2.003 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 0.0305176 -2.2583 2.2583
%  9 10 Motor velocity ref left, right: 0.0338 0.0342
% 11 12 Wheel velocity [m/s] left, right: 0.0181 0.0125
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: 0.0355435 -3.92846e-05 0.00259112 -0.0107826
% 17 .. 37 Edge sensor: left 0.000000 0, right 0.000000 0, values 553 609 699 694 703 717 729 564, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.118 2 1 1 0 -2.868652 -45.989990 5.737305 -0.0217 -0.0245 -0.0233 -0.0225 0.0321 -0.0000 0.000000 0.028371 0.0000 0 0.0000 0  595 669 766 758 770 786 804 622  1 1 0 0 0 0 0 0 0 
2.123 2 1 1 0 -0.335693 -44.555664 5.950928 -0.0137 -0.0174 -0.0233 -0.0173 0.0321 -0.0000 0.000000 0.031956 0.0000 0 0.0000 0  603 670 767 770 775 812 814 632  1 1 0 0 0 0 0 0 0 
2.128 2 1 1 0 0.335693 -35.186768 1.678467 -0.0261 -0.0181 -0.0189 -0.0165 0.0319 -0.0000 -0.002591 0.035423 0.0000 0 0.0000 0  607 678 780 768 778 799 818 638  1 1 0 0 0 0 0 0 0 
2.133 2 1 1 0 -1.983643 -25.512695 -3.082275 -0.0451 -0.0271 -0.0153 -0.0165 0.0319 -0.0000 -0.002591 0.037766 0.0000 0 0.0000 0  607 679 779 776 789 804 823 635  1 1 0 0 0 0 0 0 0 
2.138 2 1 1 0 -2.319336 -16.296387 -6.469727 -0.0505 -0.0465 -0.0141 -0.0165 0.0317 -0.0000 0.000000 0.039182 0.0000 0 0.0000 0  614 681 788 784 786 833 827 644  1 1 0 0 0 0 0 0 0 
2.143 2 1 1 0 -0.274658 -13.702393 -3.204346 -0.0439 -0.0548 -0.0141 -0.0165 0.0317 -0.0000 0.000000 0.040107 0.0000 0 0.0000 0  614 681 789 776 796 812 823 637  1 1 0 0 0 0 0 0 0 
2.148 2 1 1 0 0.152588 -16.510010 -5.096436 -0.0359 -0.0517 -0.0337 -0.0165 0.0315 -0.0000 0.002591 0.041432 0.0000 0 0.0000 0  593 690 789 784 794 806 833 640  1 1 0 0 0 0 0 0 0 
2.153 2 1 1 0 -0.305176 -15.197754 -3.997803 -0.0363 -0.0621 -0.0337 -0.0137 0.0315 -0.0000 0.002591 0.042456 0.0000 0 0.0000 0  614 694 794 783 796 806 837 641  1 1 0 0 0 0 0 0 0 
2.158 2 1 1 0 -1.434326 -16.113281 -3.936768 -0.0334 -0.0560 -0.0337 -0.0125 0.0313 -0.0000 0.000000 0.043740 0.0000 0 0.0000 0  629 686 806 789 800 818 842 645  1 1 0 0 0 0 0 0 0 
2.163 2 1 1 0 -0.946045 -16.479492 -3.417969 -0.0304 -0.0429 -0.0241 -0.0125 0.0313 -0.0000 0.000000 0.044909 0.0000 0 0.0000 0  616 689 789 790 805 810 846 649  1 1 0 0 0 0 0 0 0 
