%% logfile from robot Silke (54)
% Silke (54)
%  1    time 2.017 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 0.671387 -0.305176 12.146
%  9 10 Motor velocity ref left, right: 0.0242 0.0174
% 11 12 Wheel velocity [m/s] left, right: 0.0257 -0.0177
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: -0.0180718 -0.000191476 -0.00518225 -0.00867923
% 17 .. 37 Edge sensor: left 0.976893 0, right 4.180000 0, values 614 678 779 760 740 730 725 550, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.477 2 1 1 0 0.030518 3.143311 4.791260 0.1711 0.1585 0.1659 0.1225 0.0084 -0.0002 -0.000000 0.005670 0.9769 0 4.1800 0  647 722 828 800 774 761 765 580  1 1 0 0 0 0 0 0 0 
2.497 2 1 1 0 0.793457 5.981445 5.493164 0.1522 0.1406 0.1526 0.1064 0.0108 -0.0002 -0.000000 0.002778 0.9769 0 4.1800 0  646 721 821 780 768 771 751 572  1 1 0 0 0 0 0 0 0 
2.517 2 1 1 0 -2.014160 -2.624512 -4.882812 0.1621 0.1664 0.1317 0.1149 0.0137 -0.0003 -0.005182 0.003914 0.9769 0 4.1800 0  641 720 816 790 774 753 747 575  1 1 0 0 0 0 0 0 0 
2.537 2 1 1 0 -0.396729 11.169434 -5.096436 0.1430 0.1483 0.1353 0.1289 0.0163 -0.0003 -0.002591 0.002791 0.9769 0 4.1800 0  617 714 838 788 767 738 726 565  1 1 0 0 0 0 0 0 0 
2.557 2 1 1 0 -0.915527 0.030518 -0.061035 0.1636 0.1587 0.1353 0.1639 0.0193 -0.0003 -0.000000 0.001804 0.9769 0 4.1800 0  587 710 813 783 765 744 750 568  1 1 0 0 0 0 0 0 0 
2.577 2 1 1 0 -0.274658 -5.889893 0.183105 0.1761 0.1571 0.1538 0.1554 0.0221 -0.0003 -0.000000 0.002668 0.9769 0 4.1800 0  629 719 812 816 764 742 758 567  1 1 0 0 0 0 0 0 0 
2.597 2 1 1 0 0.183105 -4.455566 5.310059 0.1702 0.1557 0.1422 0.1366 0.0247 -0.0003 -0.002591 0.002617 0.9769 0 4.1800 0  606 700 808 796 759 740 744 575  1 1 0 0 0 0 0 0 0 
2.617 2 1 1 0 -0.091553 -3.814697 4.638672 0.1662 0.1589 0.1398 0.1530 0.0273 -0.0003 -0.000000 0.002555 0.9769 0 4.1800 0  611 686 797 778 765 734 745 577  1 1 0 0 0 0 0 0 0 
2.637 2 1 1 0 0.885010 1.342773 0.579834 0.1563 0.1649 0.1329 0.1297 0.0301 -0.0003 -0.005182 0.003213 0.9769 0 4.1800 0  605 695 800 780 766 733 725 572  1 1 0 0 0 0 0 0 0 
2.657 2 1 1 0 -0.976562 5.096436 -7.965088 0.1568 0.1598 0.1337 0.1454 0.0329 -0.0003 -0.000000 0.002650 0.9769 0 4.1800 0  596 696 786 773 772 731 745 569  1 1 0 0 0 0 0 0 0 
2.677 2 1 1 0 0.274658 2.746582 -5.981445 0.1657 0.1487 0.1462 0.1458 0.0357 -0.0003 -0.000000 0.001976 0.9769 0 4.1800 0  597 684 781 772 748 729 731 566  1 1 0 0 0 0 0 0 0 
2.697 2 1 1 0 0.610352 2.075195 1.220703 0.1746 0.1579 0.1317 0.1707 0.0388 -0.0003 0.002591 0.002167 0.9769 0 4.1800 0  596 714 777 765 760 724 727 560  1 1 0 0 0 0 0 0 0 
2.717 2 1 1 0 1.464844 5.401611 2.929688 0.1699 0.1572 0.1458 0.1767 0.0416 -0.0003 0.002591 0.001445 0.9769 0 4.1800 0  601 717 774 756 738 727 723 555  1 1 0 0 0 0 0 0 0 
2.737 2 1 1 0 1.312256 -4.302979 2.258301 0.1797 0.1660 0.1574 0.1611 0.0446 -0.0003 -0.000000 0.001229 0.9769 0 4.1800 0  592 669 769 751 753 721 722 571  1 1 0 0 0 0 0 0 0 
2.757 2 1 1 0 0.854492 1.159668 0.946045 0.1775 0.1758 0.1422 0.1450 0.0476 -0.0003 0.002591 0.001433 0.9769 0 4.1800 0  582 675 748 752 734 714 720 556  1 1 0 0 0 0 0 0 0 
2.777 2 1 1 0 0.793457 2.441406 0.518799 0.1723 0.1644 0.1530 0.1856 0.0506 -0.0003 -0.000000 -0.000683 0.9769 0 4.1800 0  578 662 755 750 730 724 726 560  1 1 0 0 0 0 0 0 0 
2.797 2 1 1 0 -0.213623 -0.671387 1.586914 0.1875 0.1783 0.1631 0.1807 0.0538 -0.0003 -0.000000 0.000194 0.9769 0 4.1800 0  584 661 762 750 738 750 729 550  1 1 0 0 0 0 0 0 0 
2.817 2 1 1 0 -1.007080 -0.335693 -1.922607 0.1830 0.1704 0.1639 0.1831 0.0570 -0.0003 -0.000000 -0.001296 0.9769 0 4.1800 0  585 660 760 745 727 720 728 556  1 1 0 0 0 0 0 0 0 
2.837 2 1 1 0 0.793457 -2.380371 3.784180 0.1900 0.1775 0.1775 0.1775 0.0602 -0.0003 -0.000000 -0.001444 0.9769 0 4.1800 0  601 669 757 745 736 693 724 558  1 1 0 0 0 0 0 0 0 
2.857 2 1 1 0 -1.129150 4.028320 3.601074 0.1762 0.1664 0.1639 0.1414 0.0633 -0.0003 -0.002591 -0.002344 0.9769 0 4.1800 0  582 668 762 743 738 712 729 558  1 1 0 0 0 0 0 0 0 
2.877 2 1 1 0 -0.152588 -0.457764 3.601074 0.1785 0.1707 0.1751 0.1562 0.0665 -0.0003 -0.002591 -0.003665 0.9769 0 4.1800 0  615 671 771 753 739 736 720 552  1 1 0 0 0 0 0 0 0 
2.897 2 1 1 0 0.335693 -1.190186 4.547119 0.1808 0.1852 0.1586 0.1691 0.0697 -0.0003 -0.002591 -0.003245 0.9769 0 4.1800 0  584 671 774 760 743 728 742 541  1 1 0 0 0 0 0 0 0 
2.917 2 1 1 0 -0.976562 -0.244141 -3.051758 0.1829 0.1854 0.1679 0.1775 0.0729 -0.0003 -0.002591 -0.004225 0.9769 0 4.1800 0  619 679 775 761 740 724 720 539  1 1 0 0 0 0 0 0 0 
2.937 2 1 1 0 -0.823975 -2.380371 -6.591797 0.1924 0.1886 0.1791 0.1940 0.0763 -0.0003 -0.000000 -0.004613 0.9769 0 4.1800 0  621 703 780 774 743 735 724 535  1 1 0 0 0 0 0 0 0 
2.957 2 1 1 0 0.396729 0.640869 -6.011963 0.1873 0.1733 0.1759 0.1707 0.0799 -0.0003 -0.000000 -0.005390 0.9769 0 4.1800 0  613 686 779 749 747 733 716 536  1 1 0 0 0 0 0 0 0 
2.977 2 1 1 0 -0.671387 -2.868652 -2.532959 0.1892 0.1731 0.1715 0.1731 0.0829 -0.0003 -0.002591 -0.005948 0.9769 0 4.1800 0  614 689 778 739 760 735 709 542  1 1 0 0 0 0 0 0 0 
2.997 2 1 1 0 -1.098633 -1.800537 5.523682 0.1993 0.1793 0.1526 0.1868 0.0866 -0.0003 0.002591 -0.005048 0.9769 0 4.1800 0  621 664 780 762 758 743 732 534  1 1 0 0 0 0 0 0 0 
3.017 2 1 1 0 -0.579834 -0.396729 3.906250 0.1993 0.1863 0.1876 0.2145 0.0900 -0.0003 -0.000000 -0.005734 0.9769 0 4.1800 0  623 703 785 759 729 744 728 548  1 1 0 0 0 0 0 0 0 
3.037 2 1 1 0 0.915527 3.997803 3.448486 0.1926 0.1964 0.1856 0.1892 0.0936 -0.0003 -0.000000 -0.005682 0.9769 0 4.1800 0  620 692 786 765 784 749 743 570  1 1 0 0 0 0 0 0 0 
3.057 2 1 1 0 0.396729 6.530762 0.183105 0.1893 0.1913 0.1731 0.1968 0.0972 -0.0003 -0.000000 -0.008041 0.9769 0 4.1800 0  620 700 782 760 745 746 750 551  1 1 0 0 0 0 0 0 0 
3.077 2 1 1 0 0.061035 4.333496 -4.150391 0.1976 0.1886 0.1731 0.1831 0.1008 -0.0003 -0.000000 -0.008531 0.9769 0 4.1800 0  614 689 808 769 764 782 763 577  1 1 0 0 0 0 0 0 0 
3.097 2 1 1 0 0.671387 3.814697 -2.960205 0.1864 0.1707 0.1707 0.1590 0.1044 -0.0003 -0.000000 -0.011003 0.9769 0 4.1800 0  634 725 819 794 802 797 796 593  1 1 0 0 0 0 0 0 0 
3.117 2 1 1 0 0.396729 -4.699707 -4.028320 0.2010 0.1891 0.1735 0.1815 0.1078 -0.0003 -0.002591 -0.010766 0.9769 0 4.1800 0  653 751 870 834 847 825 849 638  1 1 0 0 0 0 0 0 0 
3.137 2 1 1 0 1.251221 0.823975 -1.037598 0.2021 0.1849 0.1968 0.1856 0.1115 -0.0003 0.002591 -0.010144 0.9769 0 4.1800 0  699 803 936 891 894 891 927 703  1 1 0 0 0 0 0 0 0 
3.157 2 1 1 0 -1.037598 -6.011963 -4.089355 0.2207 0.2055 0.2217 0.1707 0.1153 -0.0003 -0.000000 -0.009533 -1.8700 0 -0.5393 0  776 884 988 977 992 997 1022 745  1 1 0 0 0 0 0 0 0 
3.177 2 1 2 0 -0.030518 2.288818 -5.676270 0.2095 0.1864 0.1912 0.1968 0.1187 -0.0003 0.002591 -0.009821 -1.8700 0 -0.5393 0  842 959 1091 1063 1076 1106 1133 845  1 1 0 0 0 0 20 0 0 
3.197 2 1 2 0 -0.701904 -4.455566 -3.051758 0.2187 0.1755 0.2016 0.1735 0.1223 -0.0003 0.002591 -0.010482 -1.8700 0 -0.5393 0  879 1000 1155 1121 1141 1155 1199 905  1 1 0 0 1 0 20 0 0 
