%% logfile from robot Silke (54)
% Silke (54)
%  1    time 2.010 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: -0.0305176 -6.22559 0.0305176
%  9 10 Motor velocity ref left, right: -0.0044 -0.0190
% 11 12 Wheel velocity [m/s] left, right: -0.0028 -0.0229
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: 0.0202819 2.83578e-05 0.00259112 0.00687665
% 17 .. 37 Edge sensor: left -4.180000 0, right -0.200014 0, values 529 594 677 662 666 691 693 556, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.910 2 1 1 0 0.396729 0.549316 2.410889 0.1800 0.1827 0.1554 0.1767 0.1211 -0.0000 -0.002591 -0.005277 -4.1800 0 -0.2000 0  653 722 849 840 855 869 900 681  1 1 0 0 0 0 0 0 0 
2.920 2 1 1 0 1.068115 4.211426 3.814697 0.1721 0.1701 0.1518 0.1691 0.1225 -0.0000 0.000000 -0.006070 -4.1800 0 -0.2000 0  648 774 883 846 892 908 944 689  1 1 0 0 0 0 0 0 0 
2.930 2 1 1 0 0.030518 6.713867 -3.631592 0.1669 0.1649 0.1791 0.1418 0.1241 -0.0000 0.000000 -0.006626 -4.1800 0 -0.2000 0  700 792 922 886 931 944 953 719  1 1 0 0 0 0 0 0 0 
2.940 2 1 1 0 -0.518799 2.471924 -3.356934 0.1666 0.1652 0.1598 0.1374 0.1255 -0.0000 -0.002591 -0.007240 -0.9069 0 2.4840 0  736 852 967 957 969 986 1033 753  1 1 0 0 0 0 0 0 0 
2.950 2 1 1 0 -0.671387 -3.417969 -4.547119 0.1803 0.1755 0.1623 0.1783 0.1273 -0.0000 0.000000 -0.006575 -0.9069 0 2.4840 0  760 887 1010 1029 1006 1028 1068 785  1 1 0 0 0 0 5 0 0 
2.960 2 1 2 0 -1.190186 4.638672 0.457764 0.1635 0.1506 0.1277 0.1502 0.1287 -0.0000 -0.002591 -0.007053 -0.9069 0 2.4840 0  802 911 1042 1020 1043 1067 1087 820  1 1 0 0 0 0 15 0 0 
2.970 2 1 2 0 0.976562 -0.335693 -1.312256 0.1700 0.1371 0.1486 0.1434 0.1301 -0.0000 0.000000 -0.006899 -0.9069 0 2.4840 0  809 942 1070 1042 1085 1101 1127 849  1 1 0 0 1 0 20 0 0 
2.980 2 1 2 0 -0.793457 3.082275 3.814697 0.1622 0.1093 0.1458 0.1044 0.1315 -0.0000 -0.002591 -0.007038 -0.9069 0 2.4840 0  846 950 1105 1079 1106 1129 1165 876  1 1 0 0 1 0 20 0 0 
2.990 2 1 2 0 0.915527 -4.150391 3.204346 0.1708 0.0980 0.1542 0.0900 0.1327 -0.0000 -0.007773 -0.006598 -0.9069 0 2.4840 0  877 1042 1124 1113 1138 1149 1194 895  1 1 0 0 1 0 20 0 0 
3.000 2 1 2 0 -0.427246 -10.040283 2.655029 0.1889 0.0960 0.1775 0.0859 0.1339 -0.0001 -0.012956 -0.004976 -0.9069 0 2.4840 0  882 1019 1146 1120 1143 1169 1190 905  1 1 0 0 1 0 20 0 0 
3.010 2 1 2 0 1.434326 -11.505127 14.434814 0.1925 0.0796 0.1414 0.1084 0.1353 -0.0001 -0.015547 -0.003653 -0.9069 0 2.4840 0  897 1027 1163 1158 1163 1187 1226 923  1 1 0 0 1 0 20 0 0 
3.020 2 1 2 0 1.373291 -16.693115 24.963379 0.2116 0.0877 0.1482 0.0755 0.1366 -0.0001 -0.020729 -0.001209 -0.9069 0 2.4840 0  914 1033 1177 1155 1172 1196 1229 939  1 1 0 0 1 0 20 0 0 
3.030 2 1 2 0 4.241943 -23.651123 36.590576 0.2392 0.1072 0.1759 0.0936 0.1378 -0.0001 -0.025911 0.001790 -0.9069 0 2.4840 0  917 1016 1192 1167 1155 1217 1216 946  1 1 0 0 1 0 20 0 0 
3.040 2 1 2 0 2.990723 -20.446777 44.281006 0.2604 0.1083 0.2008 0.1217 0.1392 -0.0002 -0.028502 0.005319 -0.9069 0 2.4840 0  929 1042 1203 1178 1196 1224 1265 961  1 1 0 0 1 0 20 0 0 
3.050 2 1 2 0 6.713867 -17.272949 53.710938 0.2805 0.1147 0.2265 0.0863 0.1408 -0.0002 -0.038867 0.007943 -0.9069 0 2.4840 0  942 1086 1228 1188 1228 1238 1260 968  1 1 0 0 1 0 20 0 0 
3.060 2 1 2 0 6.652832 -9.368896 65.277100 0.2876 0.1058 0.1900 0.0996 0.1422 -0.0003 -0.046640 0.009732 -0.9069 0 2.4840 0  947 1023 1226 1204 1210 1241 1268 975  1 1 0 0 1 0 20 0 0 
3.070 2 1 2 0 7.141113 -3.540039 66.497803 0.3056 0.1127 0.2510 0.0835 0.1440 -0.0004 -0.054414 0.010572 -0.9069 0 2.4840 0  949 1095 1224 1211 1211 1246 1282 1027  1 1 0 0 1 0 20 0 0 
3.080 2 1 2 0 8.422852 -1.495361 66.894531 0.3284 0.1155 0.2908 0.0643 0.1456 -0.0005 -0.069960 0.010513 -0.9069 0 2.4840 0  949 1069 1223 1206 1231 1250 1279 999  1 1 0 0 1 0 20 0 0 
3.090 2 1 2 0 9.216309 9.796143 76.293945 0.3267 0.0976 0.2623 0.0827 0.1472 -0.0006 -0.080325 0.009277 -0.9069 0 2.4840 0  937 1042 1221 1197 1214 1248 1276 981  1 1 0 0 1 0 20 0 0 
3.100 2 1 2 0 9.979248 11.840820 78.460693 0.3440 0.1029 0.3317 0.0807 0.1490 -0.0007 -0.093280 0.006917 -0.9069 0 2.4840 0  931 1048 1215 1183 1183 1228 1261 983  1 1 0 0 1 0 20 0 0 
3.110 2 1 2 0 11.138916 10.437012 78.430176 0.3655 0.1084 0.3161 0.0968 0.1512 -0.0010 -0.106236 0.005317 -0.9069 0 2.4840 0  910 1031 1180 1165 1194 1214 1252 972  1 1 0 0 1 0 20 0 0 
3.120 2 1 2 0 11.230469 22.033691 84.045410 0.3591 0.0993 0.3374 0.0619 0.1530 -0.0012 -0.124374 0.001573 -0.9069 0 2.4840 0  884 1012 1134 1134 1168 1212 1231 964  1 1 0 0 1 0 20 0 0 
3.130 2 1 2 0 10.986328 17.364502 87.005615 0.3782 0.1024 0.3430 0.0578 0.1550 -0.0014 -0.139921 -0.001955 -0.9069 0 2.4840 0  849 972 1101 1103 1125 1164 1216 970  1 1 0 0 1 0 20 0 0 
3.140 2 1 2 0 12.237549 23.468018 95.458984 0.3811 0.0954 0.3213 0.1301 0.1574 -0.0018 -0.155467 -0.005357 0.7121 1 4.1800 0  795 916 1051 1052 1077 1136 1183 934  1 1 0 0 1 0 20 10 0 
3.150 2 1 2 0 19.836426 24.230957 97.076416 0.3887 0.1070 0.3683 0.0996 0.1593 -0.0021 -0.171014 -0.009844 0.5966 1 4.1800 0  743 851 968 995 1052 1096 1141 930  1 1 0 0 1 0 14 20 0 
3.160 2 1 2 0 16.448975 25.939941 97.259521 0.3922 0.0960 0.3185 0.0574 0.1615 -0.0025 -0.189152 -0.013567 0.8678 1 4.1800 0  688 788 912 939 977 1050 1107 895  1 1 0 0 0 0 0 20 0 
3.170 2 1 2 0 7.965088 35.247803 108.062744 0.3805 0.0814 0.3615 0.0839 0.1637 -0.0029 -0.207290 -0.019594 0.5988 1 4.1800 0  624 720 846 879 920 1013 1065 841  1 1 0 0 0 0 0 20 0 
3.180 2 1 2 0 7.812500 28.808594 107.391357 0.3970 0.0819 0.4016 0.0671 0.1656 -0.0034 -0.228019 -0.024571 0.8646 1 4.1800 0  580 673 795 821 855 948 1032 833  1 1 0 0 0 0 0 20 0 
3.190 2 1 2 0 12.329102 35.003662 116.210938 0.3809 0.0658 0.3582 0.0643 0.1678 -0.0039 -0.246157 -0.030230 1.1148 1 4.1800 0  547 635 735 759 802 875 983 800  1 1 0 0 0 0 0 20 0 
3.200 2 1 2 0 7.385254 32.012939 116.302490 0.3825 0.0576 0.3751 0.0739 0.1699 -0.0044 -0.264295 -0.035666 1.2380 1 4.1800 0  535 608 707 719 757 846 944 789  1 1 0 0 0 0 0 20 0 
3.210 2 1 2 0 7.873535 36.804199 123.260498 0.3689 0.0433 0.3860 0.0386 0.1720 -0.0051 -0.287615 -0.041410 1.2967 1 4.1800 0  512 594 695 684 726 801 907 756  1 1 0 0 0 0 0 20 0 
3.220 2 1 2 0 5.493164 35.888672 125.488281 0.3581 0.0297 0.3787 0.0361 0.1738 -0.0056 -0.310935 -0.047327 1.3793 1 4.1800 0  515 576 652 663 701 771 874 729  1 1 0 0 0 0 0 20 0 
3.230 2 1 2 0 7.751465 29.724121 130.706787 0.3521 0.0294 0.3430 0.0514 0.1755 -0.0062 -0.334256 -0.052612 1.4084 1 4.1800 0  484 562 635 644 683 732 852 708  1 1 0 0 0 0 0 20 0 
3.240 2 1 2 0 5.187988 29.083252 130.371094 0.3464 0.0189 0.3751 0.0361 0.1772 -0.0068 -0.357576 -0.057127 1.3368 0 4.1800 0  495 547 630 638 670 745 816 698  1 1 0 0 0 0 0 14 0 
3.250 2 1 2 0 6.378174 20.904541 135.375977 0.3493 0.0249 0.3751 0.0189 0.1791 -0.0075 -0.383487 -0.060909 1.3308 1 4.1800 0  505 524 608 636 661 733 811 697  1 1 0 0 0 0 0 1 0 
3.260 2 1 2 0 3.356934 15.258789 139.221191 0.3480 0.0224 0.3317 0.0129 0.1807 -0.0082 -0.406807 -0.063355 1.3308 0 4.1800 0  486 526 606 620 650 710 806 679  1 1 0 0 0 0 0 0 0 
3.270 2 1 2 0 -6.347656 19.073486 143.798828 0.3398 0.0122 0.3651 0.0096 0.1824 -0.0089 -0.430128 -0.065800 1.3308 0 4.1800 0  477 528 604 623 650 705 783 673  1 1 0 0 0 0 0 0 0 
3.280 2 1 2 0 5.310059 19.866943 143.493652 0.3267 0.0151 0.3860 0.0076 0.1840 -0.0097 -0.453448 -0.069332 1.3308 0 4.1800 0  461 527 607 604 639 699 776 672  1 1 0 0 0 0 0 0 0 
3.290 2 1 2 0 7.995605 22.766113 140.533447 0.2994 0.0038 0.3185 0.0064 0.1854 -0.0104 -0.474177 -0.072285 1.3308 0 4.1800 0  465 527 606 592 635 686 746 667  1 1 0 0 0 0 0 0 0 
3.300 2 1 2 0 3.051758 24.322510 138.641357 0.2714 -0.0081 0.2787 0.0056 0.1869 -0.0112 -0.494906 -0.075743 1.3308 0 4.1800 0  470 530 604 614 627 677 769 661  1 1 0 0 0 0 0 0 0 
3.310 2 1 2 0 -1.281738 22.552490 132.568359 0.2477 -0.0118 0.2787 0.0048 0.1881 -0.0119 -0.513044 -0.078864 1.3308 0 4.1800 0  476 540 613 610 628 675 755 658  1 1 0 0 0 0 0 0 0 
3.320 2 1 2 0 7.507324 23.712158 129.669189 0.2092 -0.0304 0.2462 0.0040 0.1891 -0.0125 -0.528591 -0.082162 1.3308 0 4.1800 0  472 535 609 603 624 663 755 658  1 1 0 0 0 0 0 0 0 
3.330 2 1 2 0 -1.342773 12.939453 119.476318 0.1951 -0.0325 0.2639 0.0036 0.1902 -0.0131 -0.544137 -0.084074 1.3308 0 4.1800 0  469 544 607 609 617 662 739 653  1 1 0 0 0 0 0 0 0 
3.340 2 1 2 0 1.037598 -2.960205 101.898193 0.2075 -0.0167 0.2418 0.0036 0.1914 -0.0138 -0.562275 -0.081343 1.3308 0 4.1800 0  476 529 608 605 622 666 757 654  1 1 0 0 0 0 0 0 0 
3.350 2 1 2 0 3.356934 -8.514404 87.524414 0.2030 -0.0052 0.2418 -0.0032 0.1922 -0.0144 -0.580413 -0.078880 1.3308 0 4.1800 0  480 547 611 609 626 673 766 667  1 1 0 0 0 0 0 0 0 
3.360 2 1 2 0 1.159668 -11.749268 78.979492 0.1903 -0.0019 0.2080 -0.0032 0.1931 -0.0149 -0.593369 -0.076253 1.3308 0 4.1800 0  475 601 619 610 628 671 770 673  1 1 0 0 0 0 0 0 0 
3.370 2 1 2 0 1.403809 -11.657715 68.420410 0.1776 0.0014 0.2068 -0.0032 0.1939 -0.0155 -0.606325 -0.072761 1.3308 0 4.1800 0  482 551 630 612 634 687 782 678  1 1 0 0 0 0 0 0 0 
3.380 2 1 2 0 3.814697 -12.756348 61.981201 0.1587 -0.0015 0.1550 -0.0032 0.1945 -0.0159 -0.616689 -0.069847 1.7276 0 4.1800 0  483 559 639 621 636 689 786 685  1 1 0 0 0 0 0 0 0 
3.390 2 1 2 0 1.190186 -21.148682 52.673340 0.1604 0.0162 0.1687 -0.0032 0.1952 -0.0164 -0.627054 -0.065606 1.7192 0 4.1800 0  487 562 647 627 641 701 798 686  1 1 0 0 0 0 0 3 0 
3.400 2 1 2 0 0.793457 -22.064209 47.607422 0.1500 0.0187 0.1402 -0.0032 0.1957 -0.0168 -0.634827 -0.061175 1.6893 1 4.1800 0  492 578 651 638 641 697 808 702  1 1 0 0 0 0 0 7 0 
3.410 2 1 2 0 2.593994 -23.895264 42.297363 0.1441 0.0215 0.1418 -0.0032 0.1963 -0.0172 -0.645192 -0.056558 1.6741 1 4.1800 0  507 586 654 641 657 707 820 702  1 1 0 0 0 0 0 8 0 
3.420 2 1 2 0 1.037598 -26.031494 38.116455 0.1414 0.0239 0.1345 -0.0032 0.1968 -0.0176 -0.652965 -0.051557 1.7267 1 4.1800 0  508 589 666 650 653 712 824 721  1 1 0 0 0 0 0 12 0 
3.430 2 1 2 0 1.312256 -28.167725 33.233643 0.1398 0.0345 0.1205 -0.0032 0.1973 -0.0180 -0.660738 -0.046247 1.7414 1 4.1800 0  514 581 656 657 666 718 838 737  1 1 0 0 0 0 0 19 0 
3.440 2 1 2 0 1.312256 -28.350830 28.747559 0.1405 0.0293 0.1088 -0.0032 0.1978 -0.0183 -0.668512 -0.040642 1.7203 0 4.1800 0  523 529 682 666 683 732 853 710  1 1 0 0 0 0 0 18 0 
3.450 2 1 2 0 1.556396 -21.697998 31.463623 0.1219 0.0307 0.0863 -0.0032 0.1981 -0.0186 -0.673694 -0.036468 1.6697 1 4.1800 0  532 582 680 679 678 733 860 748  1 1 0 0 0 0 0 20 0 
3.460 2 1 2 0 1.495361 -24.353027 30.639648 0.1194 0.0391 0.0920 -0.0032 0.1984 -0.0188 -0.678876 -0.032225 1.7434 1 4.1800 0  531 608 689 680 697 751 864 760  1 1 0 0 0 0 0 20 0 
3.470 2 1 2 0 2.105713 -23.834229 32.257080 0.1121 0.0423 0.0799 0.0032 0.1988 -0.0192 -0.681467 -0.028082 1.6191 1 4.1800 0  544 612 705 690 687 745 881 745  1 1 0 0 0 0 0 20 0 
3.480 2 1 2 0 1.159668 -24.749756 32.745361 0.1125 0.0354 0.0884 0.0305 0.1995 -0.0197 -0.686650 -0.023562 1.6814 1 4.1800 0  544 622 699 696 705 754 888 761  1 1 0 0 0 0 0 20 0 
3.490 2 1 2 0 2.319336 -25.695801 30.883789 0.1132 0.0422 0.0803 0.0253 0.1998 -0.0200 -0.691832 -0.019042 1.7188 1 4.1800 0  555 628 723 699 712 769 894 776  1 1 0 0 0 0 0 20 0 
3.500 2 1 2 0 1.312256 -27.374268 27.709961 0.1197 0.0515 0.0900 0.0157 0.2001 -0.0202 -0.697014 -0.014051 1.7555 1 4.1800 0  558 631 723 711 725 783 905 796  1 1 0 0 0 0 0 20 0 
3.510 2 1 2 0 1.922607 -22.918701 28.900146 0.1175 0.0412 0.0855 0.0116 0.2006 -0.0206 -0.699605 -0.009783 1.7093 1 4.1800 0  562 638 723 718 726 781 917 794  1 1 0 0 0 0 0 20 0 
3.520 2 1 2 0 2.044678 -23.040771 28.778076 0.1194 0.0527 0.0795 0.0116 0.2009 -0.0209 -0.704788 -0.005802 1.7064 1 4.1800 0  565 646 766 724 734 795 926 806  1 1 0 0 0 0 0 20 0 
3.530 2 1 2 0 2.014160 -19.226074 27.526855 0.1187 0.0473 0.0779 0.0614 0.2015 -0.0214 -0.704788 -0.001850 1.7036 1 4.1800 0  578 647 752 734 736 799 934 811  1 1 0 0 0 0 0 20 0 
3.540 2 1 2 0 0.976562 -19.378662 24.658203 0.1224 0.0588 0.0847 0.0305 0.2018 -0.0217 -0.709970 0.001530 1.5788 1 4.1800 0  557 661 767 731 748 832 940 818  1 1 0 0 0 0 0 20 0 
3.550 2 1 2 0 2.563477 -18.493652 27.740479 0.1275 0.0454 0.0940 0.0193 0.2022 -0.0221 -0.712561 0.004615 1.6089 1 4.1800 0  559 665 765 748 749 827 945 824  1 1 0 0 0 0 0 20 0 
3.560 2 1 2 0 2.136230 -14.251709 26.245117 0.1245 0.0483 0.0835 0.0193 0.2025 -0.0223 -0.717743 0.007097 1.6180 1 4.1800 0  565 671 775 753 759 822 951 823  1 1 0 0 0 0 0 20 0 
3.570 2 1 2 0 2.349854 -19.744873 26.306152 0.1414 0.0616 0.0924 0.0193 0.2030 -0.0227 -0.720334 0.010327 1.7124 1 4.1800 0  603 668 771 770 766 815 964 833  1 1 0 0 0 0 0 20 0 
3.580 2 1 2 0 1.495361 -11.535645 20.172119 0.1370 0.0567 0.0920 0.0193 0.2034 -0.0231 -0.728108 0.012935 1.7174 1 4.1800 0  613 679 778 799 777 833 968 836  1 1 0 0 0 0 0 20 0 
3.590 2 1 2 0 2.655029 -13.488770 24.780273 0.1491 0.0561 0.1064 0.0289 0.2040 -0.0237 -0.733290 0.014810 1.6222 1 4.1800 0  565 687 783 762 779 833 959 838  1 1 0 0 0 0 0 20 0 
3.600 2 1 2 0 2.136230 -16.052246 27.740479 0.1620 0.0750 0.0996 0.0309 0.2045 -0.0241 -0.735881 0.017202 1.5878 1 4.1800 0  591 684 794 779 781 843 991 839  1 1 0 0 0 0 0 20 0 
3.610 2 1 2 0 3.173828 -12.939453 28.015137 0.1713 0.0733 0.1253 0.0301 0.2051 -0.0246 -0.741063 0.019413 1.7346 1 4.1800 0  575 683 794 757 786 830 952 846  1 1 0 0 0 0 0 20 0 
3.620 2 1 2 0 3.204346 -9.674072 27.801514 0.1808 0.0629 0.1366 0.0301 0.2055 -0.0250 -0.748837 0.021053 1.6826 1 4.1800 0  607 688 798 771 791 841 986 844  1 1 0 0 0 0 0 20 0 
3.630 2 1 2 0 3.234863 -7.232666 28.991699 0.1856 0.0803 0.1117 0.0289 0.2061 -0.0256 -0.754019 0.022243 1.7295 1 4.1800 0  636 696 821 835 800 844 985 848  1 1 0 0 0 0 0 20 0 
3.640 2 1 2 0 3.479004 -1.373291 27.069092 0.1903 0.0730 0.1313 0.0586 0.2070 -0.0264 -0.759201 0.022847 1.7982 1 4.1800 0  640 695 801 803 807 839 977 856  1 1 0 0 0 0 0 20 0 
3.650 2 1 2 0 3.326416 0.518799 28.564453 0.1972 0.0741 0.1639 0.0398 0.2077 -0.0271 -0.766975 0.022359 1.7004 1 4.1800 0  626 697 805 797 801 846 993 849  1 1 0 0 0 0 0 20 0 
3.660 2 1 2 0 5.371094 -2.136230 32.409668 0.2117 0.0735 0.1598 0.0546 0.2083 -0.0276 -0.772157 0.022345 1.5479 1 4.1800 0  585 701 797 808 810 847 1004 847  1 1 0 0 0 0 0 20 0 
3.670 2 1 2 0 3.021240 2.502441 33.203125 0.2134 0.0787 0.1542 0.0406 0.2090 -0.0283 -0.779930 0.021921 1.9175 1 4.1800 0  636 710 807 795 812 852 958 846  1 1 0 0 0 0 0 20 0 
3.680 2 1 2 0 5.584717 0.640869 39.367676 0.2249 0.0837 0.1691 0.0349 0.2097 -0.0291 -0.787704 0.021079 1.6367 1 4.1800 0  612 729 802 810 800 852 998 844  1 1 0 0 0 0 0 20 0 
3.690 2 1 2 0 5.584717 0.915527 45.166016 0.2324 0.0851 0.1687 0.0759 0.2106 -0.0299 -0.792886 0.020255 1.6821 1 4.1800 0  603 697 803 785 811 850 977 842  1 1 0 0 0 0 0 20 0 
3.700 2 1 2 0 4.882812 4.699707 40.649414 0.2452 0.0859 0.2265 0.0418 0.2115 -0.0309 -0.800660 0.019653 1.6486 1 4.1800 0  605 689 801 808 809 854 983 840  1 1 0 0 0 0 0 20 0 
3.710 2 1 2 0 7.904053 8.911133 51.940918 0.2383 0.0878 0.1723 0.0619 0.2124 -0.0318 -0.811024 0.017494 1.5654 1 4.1800 0  601 734 795 807 795 851 978 817  1 1 0 0 0 0 0 20 0 
3.720 2 1 2 0 7.446289 16.693115 44.616699 0.2321 0.0714 0.1839 0.0707 0.2133 -0.0328 -0.818797 0.015361 1.6595 1 4.1800 0  598 703 795 797 804 845 977 839  1 1 0 0 0 0 0 20 0 
3.730 2 1 2 0 6.103516 15.441895 48.950195 0.2318 0.0685 0.2016 0.0305 0.2139 -0.0334 -0.829162 0.011727 1.6488 1 4.1800 0  593 722 787 784 803 843 968 831  1 1 0 0 0 0 0 20 0 
3.740 2 1 2 0 7.537842 9.490967 49.530029 0.2473 0.0680 0.1956 0.0197 0.2148 -0.0344 -0.842118 0.009799 1.6158 1 4.1800 0  581 662 783 782 795 828 953 812  1 1 0 0 0 0 0 20 0 
3.750 2 1 2 0 6.866455 12.512207 55.389404 0.2448 0.0666 0.2028 0.0506 0.2156 -0.0353 -0.852482 0.007220 1.6142 1 4.1800 0  578 670 777 773 780 834 954 819  1 1 0 0 0 0 0 20 0 
3.760 2 1 2 0 7.843018 14.556885 60.485840 0.2401 0.0675 0.1976 0.0470 0.2164 -0.0362 -0.862847 0.004350 1.6433 1 4.1800 0  575 649 772 777 785 829 950 823  1 1 0 0 0 0 0 20 0 
3.770 2 1 2 0 7.385254 11.962891 61.126709 0.2463 0.0588 0.2125 0.0398 0.2173 -0.0373 -0.875802 0.001916 1.5282 1 4.1800 0  566 677 764 762 770 827 944 798  1 1 0 0 0 0 0 20 0 
3.780 2 1 2 0 6.622314 6.256104 64.453125 0.2642 0.0645 0.2345 0.0281 0.2181 -0.0383 -0.886167 0.000477 1.7335 1 4.1800 0  573 652 748 764 788 820 945 836  1 1 0 0 0 0 0 20 0 
3.790 2 1 2 0 7.141113 13.031006 71.838379 0.2539 0.0646 0.2229 0.1008 0.2192 -0.0397 -0.893940 -0.001782 1.5692 1 4.1800 0  563 620 756 761 786 822 941 819  1 1 0 0 0 0 0 20 0 
3.800 2 1 2 0 8.453369 13.916016 75.103760 0.2507 0.0573 0.2241 0.0727 0.2200 -0.0406 -0.904305 -0.004501 1.6332 1 4.1800 0  566 647 745 753 758 813 944 814  1 1 0 0 0 0 0 20 0 
3.810 2 1 2 0 5.859375 6.835938 73.760986 0.2720 0.0665 0.2623 0.0301 0.2210 -0.0419 -0.919852 -0.005654 1.5406 1 4.1800 0  558 657 741 750 764 826 949 812  1 1 0 0 0 0 0 20 0 
3.820 2 1 2 0 8.056641 10.375977 79.742432 0.2675 0.0605 0.2293 0.0301 0.2217 -0.0428 -0.935398 -0.007389 1.5671 1 4.1800 0  556 657 742 748 772 814 943 807  1 1 0 0 0 0 0 20 0 
3.830 2 1 2 0 8.331299 10.070801 84.289551 0.2702 0.0709 0.2659 0.0635 0.2225 -0.0440 -0.943172 -0.009709 1.4644 1 4.1800 0  552 636 756 740 745 825 949 799  1 1 0 0 0 0 0 20 0 
3.840 2 1 2 0 8.697510 9.948730 84.960938 0.2754 0.0641 0.2659 0.0707 0.2234 -0.0453 -0.958719 -0.011208 1.5583 1 4.1800 0  557 632 711 736 757 813 952 813  1 1 0 0 0 0 0 20 0 
3.850 2 1 2 0 7.171631 17.425537 80.474854 0.2642 0.0425 0.2538 0.0450 0.2242 -0.0464 -0.971674 -0.013548 1.5514 1 4.1800 0  549 628 722 730 749 828 954 829  1 1 0 0 0 0 0 20 0 
3.860 2 1 2 0 7.965088 15.136719 81.878662 0.2624 0.0432 0.2510 0.0209 0.2249 -0.0474 -0.987221 -0.016506 1.5792 1 4.1800 0  550 620 699 723 742 803 956 825  1 1 0 0 0 0 0 20 0 
3.870 2 1 2 0 5.828857 11.505127 82.641602 0.2727 0.0471 0.3016 0.0153 0.2258 -0.0488 -1.002768 -0.018558 1.4138 1 4.1800 0  553 621 718 720 743 848 957 817  1 1 0 0 0 0 0 20 0 
3.880 2 1 2 0 7.263184 11.108398 86.181641 0.2684 0.0411 0.2321 0.0325 0.2265 -0.0500 -1.015724 -0.020181 1.3807 1 4.1800 0  541 616 724 716 743 849 961 821  1 1 0 0 0 0 0 20 0 
3.890 2 1 2 0 9.246826 15.075684 92.163086 0.2553 0.0480 0.2265 0.0325 0.2272 -0.0510 -1.031270 -0.022817 1.5043 1 4.1800 0  540 613 703 714 736 815 969 827  1 1 0 0 0 0 0 20 0 
3.900 2 1 2 0 6.866455 10.589600 90.911865 0.2645 0.0418 0.2731 0.0193 0.2279 -0.0522 -1.049408 -0.024634 1.3775 1 4.1800 0  541 611 694 708 734 849 973 827  1 1 0 0 0 0 0 20 0 
3.910 2 1 2 0 6.408691 9.002686 91.522217 0.2660 0.0433 0.2522 -0.0145 0.2284 -0.0531 -1.067546 -0.025794 1.3592 1 4.1800 0  538 609 699 705 738 852 980 831  1 1 0 0 0 0 0 20 0 
3.920 2 1 2 0 6.744385 11.871338 97.778320 0.2540 0.0433 0.2362 0.0546 0.2290 -0.0543 -1.080502 -0.027866 1.3868 1 4.1800 0  532 605 686 700 739 835 992 832  1 1 0 0 0 0 0 20 0 
3.930 2 1 2 0 6.561279 7.904053 97.167969 0.2623 0.0476 0.2928 0.0257 0.2297 -0.0556 -1.098640 -0.029126 1.0989 1 4.1800 0  500 600 682 700 749 871 994 834  1 1 0 0 0 0 0 20 0 
3.940 2 1 2 0 6.713867 4.943848 94.177246 0.2640 0.0378 0.2478 0.0157 0.2302 -0.0566 -1.114187 -0.029707 1.2724 1 4.1800 0  533 601 678 698 746 856 1014 833  1 1 0 0 0 0 0 20 0 
3.950 2 1 2 0 7.598877 12.176514 96.710205 0.2474 0.0304 0.2253 0.0112 0.2308 -0.0577 -1.129733 -0.030945 1.1737 1 4.1800 0  522 598 685 696 755 872 1015 833  1 1 0 0 0 0 0 20 0 
3.960 2 1 2 0 7.537842 8.697510 93.566895 0.2488 0.0397 0.2574 -0.0108 0.2312 -0.0586 -1.147871 -0.032352 1.1323 1 4.1800 0  554 598 686 699 757 886 1015 837  1 1 0 0 0 0 0 20 0 
3.970 2 1 2 0 7.476807 6.591797 91.339111 0.2496 0.0248 0.2574 0.0410 0.2318 -0.0601 -1.163418 -0.033196 1.0569 1 4.1800 0  533 596 684 719 762 896 1034 834  1 1 0 0 0 0 0 20 0 
3.980 2 1 2 0 9.826660 10.833740 92.742920 0.2301 0.0233 0.2008 0.0201 0.2322 -0.0610 -1.176374 -0.034442 0.8445 1 4.1800 0  475 599 672 691 772 904 1040 842  1 1 0 0 0 0 0 20 0 
3.990 2 1 2 0 7.415771 7.385254 90.026855 0.2303 0.0261 0.2305 0.0133 0.2327 -0.0622 -1.191921 -0.035395 0.9263 1 4.1800 0  511 588 677 697 776 908 1069 834  1 1 0 0 0 0 0 20 0 
4.000 2 1 2 0 7.202148 5.493164 86.425781 0.2273 0.0255 0.2229 -0.0100 0.2330 -0.0631 -1.210059 -0.035934 0.8602 1 4.1800 0  493 584 678 718 779 915 1062 843  1 1 0 0 0 0 0 20 0 
4.010 2 1 2 0 5.767822 5.126953 84.503174 0.2237 0.0239 0.2374 -0.0100 0.2335 -0.0642 -1.225605 -0.036198 0.7930 1 4.1800 0  493 588 677 701 791 929 1063 845  1 1 0 0 0 0 0 20 0 
4.020 2 1 2 0 6.378174 6.958008 84.075928 0.2080 0.0185 0.2113 -0.0100 0.2338 -0.0652 -1.238561 -0.037080 0.7495 1 4.1800 0  505 580 678 673 799 943 1049 838  1 1 0 0 0 0 0 20 0 
