%% logfile from robot Silke (54)
% Silke (54)
%  1    time 2.010 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: -0.0305176 -6.22559 0.0305176
%  9 10 Motor velocity ref left, right: -0.0044 -0.0190
% 11 12 Wheel velocity [m/s] left, right: -0.0028 -0.0229
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: 0.0202819 2.83578e-05 0.00259112 0.00687665
% 17 .. 37 Edge sensor: left -4.180000 0, right -0.200014 0, values 529 594 677 662 666 691 693 556, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.240 2 1 1 0 0.366211 3.631592 6.042480 0.1576 0.1235 0.0851 0.0639 0.0229 0.0000 0.005182 0.065424 -4.1800 0 -0.2000 0  621 694 779 785 773 795 831 633  1 1 0 0 0 0 0 0 0 
2.250 2 1 1 0 0.976562 6.469727 6.561279 0.1727 0.1510 0.1217 0.0900 0.0239 0.0000 0.002591 0.064284 -4.1800 0 -0.2000 0  638 695 779 775 773 795 792 636  1 1 0 0 0 0 0 0 0 
2.260 2 1 1 0 0.671387 12.084961 2.410889 0.1778 0.1711 0.1345 0.0948 0.0249 0.0000 0.000000 0.062104 -4.1800 0 -0.2000 0  599 666 779 755 771 795 810 632  1 1 0 0 0 0 0 0 0 
2.270 2 1 1 0 0.274658 16.143799 6.622314 0.1761 0.1873 0.1277 0.1490 0.0261 0.0000 0.000000 0.059057 -4.1800 0 -0.2000 0  608 706 776 759 762 797 790 632  1 1 0 0 0 0 0 0 0 
2.280 2 1 1 0 -1.342773 24.169922 -6.622314 0.1740 0.1790 0.1398 0.1185 0.0273 0.0000 0.000000 0.055191 -4.1800 0 -0.2000 0  594 681 766 770 765 789 820 631  1 1 0 0 0 0 0 0 0 
2.290 2 1 1 0 1.037598 23.925781 4.425049 0.1853 0.1864 0.1225 0.1486 0.0289 0.0000 0.000000 0.050324 -4.1800 0 -0.2000 0  583 675 762 747 765 789 818 631  1 1 0 0 0 0 0 0 0 
2.300 2 1 1 0 -1.983643 28.350830 -6.317139 0.1831 0.1671 0.1414 0.1201 0.0303 0.0001 0.002591 0.045977 -4.1800 0 -0.2000 0  580 636 749 721 731 781 798 607  1 1 0 0 0 0 0 0 0 
2.310 2 1 1 0 -0.518799 26.885986 -0.976562 0.1861 0.1864 0.1735 0.1538 0.0317 0.0001 0.000000 0.040568 -4.1800 0 -0.2000 0  574 647 740 731 709 770 801 616  1 1 0 0 0 0 0 0 0 
2.320 2 1 1 0 -0.457764 24.902344 -0.854492 0.1909 0.1778 0.1631 0.1699 0.0335 0.0001 0.002591 0.036020 -4.1800 0 -0.2000 0  570 641 735 722 733 767 795 604  1 1 0 0 0 0 0 0 0 
2.330 2 1 1 0 -0.335693 25.360107 -1.495361 0.1884 0.1672 0.1743 0.1341 0.0351 0.0001 0.002591 0.031332 -4.1800 0 -0.2000 0  560 650 725 711 728 760 782 603  1 1 0 0 0 0 0 0 0 
2.340 2 1 1 0 -0.640869 22.888184 3.448486 0.1851 0.1559 0.1406 0.1498 0.0367 0.0001 0.002591 0.026481 -4.1800 0 -0.2000 0  551 627 713 710 715 746 778 591  1 1 0 0 0 0 0 0 0 
2.350 2 1 1 0 0.152588 22.186279 3.417969 0.1821 0.1573 0.1542 0.1289 0.0382 0.0001 0.000000 0.022728 -4.1800 0 -0.2000 0  559 614 695 708 705 746 771 536  1 1 0 0 0 0 0 0 0 
2.360 2 1 1 0 -0.579834 15.319824 9.124756 0.1893 0.1646 0.1406 0.1731 0.0398 0.0001 0.000000 0.018931 -4.1800 0 -0.2000 0  554 602 705 708 714 741 763 593  1 1 0 0 0 0 0 0 0 
2.370 2 1 1 0 -0.549316 12.725830 5.554199 0.1885 0.1758 0.1590 0.1277 0.0414 0.0001 0.000000 0.016603 -4.1800 0 -0.2000 0  548 610 702 699 725 728 749 581  1 1 0 0 0 0 0 0 0 
2.380 2 1 1 0 0.671387 13.946533 11.535645 0.1835 0.1815 0.1691 0.1815 0.0430 0.0001 0.000000 0.013630 -4.1800 0 -0.2000 0  541 628 711 696 735 726 744 575  1 1 0 0 0 0 0 0 0 
2.390 2 1 1 0 1.098633 18.707275 2.349854 0.1694 0.1674 0.1590 0.1305 0.0444 0.0001 -0.002591 0.010768 -4.1800 0 -0.2000 0  553 609 701 695 707 716 738 566  1 1 0 0 0 0 0 0 0 
2.400 2 1 1 0 0.030518 15.625000 7.354736 0.1655 0.1743 0.1281 0.1619 0.0460 0.0001 -0.002591 0.007522 -4.1800 0 -0.2000 0  539 614 705 687 695 731 729 568  1 1 0 0 0 0 0 0 0 
2.410 2 1 1 0 -0.518799 17.211914 -2.349854 0.1594 0.1622 0.1590 0.1313 0.0474 0.0001 0.000000 0.004871 -4.1800 0 -0.2000 0  542 606 699 686 694 710 728 556  1 1 0 0 0 0 0 0 0 
2.420 2 1 1 0 -0.030518 8.361816 -0.946045 0.1707 0.1726 0.1490 0.1687 0.0488 0.0001 -0.002591 0.002890 -4.1800 0 -0.2000 0  536 610 721 678 695 716 723 572  1 1 0 0 0 0 0 0 0 
2.430 2 1 1 0 -0.457764 7.324219 -8.239746 0.1726 0.1737 0.1715 0.1671 0.0504 0.0001 -0.002591 0.001991 -4.1800 0 -0.2000 0  536 606 655 677 686 696 723 542  1 1 0 0 0 0 0 0 0 
2.440 2 1 1 0 0.183105 8.300781 -1.922607 0.1660 0.1620 0.1189 0.1707 0.0518 0.0001 0.000000 -0.000071 -4.1800 0 -0.2000 0  531 604 674 672 684 704 725 567  1 1 0 0 0 0 0 0 0 
2.450 2 1 1 0 0.457764 7.629395 -8.178711 0.1586 0.1346 0.1265 0.1366 0.0534 0.0001 0.000000 -0.001034 -4.1800 0 -0.2000 0  534 600 677 667 685 690 730 563  1 1 0 0 0 0 0 0 0 
2.460 2 1 1 0 -0.427246 7.812500 -3.936768 0.1436 0.1276 0.1253 0.0956 0.0544 0.0001 -0.002591 -0.002590 -4.1800 0 -0.2000 0  510 598 653 664 680 684 734 565  1 1 0 0 0 0 0 0 0 
2.470 2 1 1 0 -0.091553 -2.044678 -4.791260 0.1582 0.1321 0.1249 0.1390 0.0558 0.0000 0.000000 -0.002689 -4.1800 0 -0.2000 0  531 587 665 658 677 714 740 566  1 1 0 0 0 0 0 0 0 
2.480 2 1 1 0 0.213623 -3.967285 -1.831055 0.1619 0.1341 0.1357 0.1390 0.0570 0.0000 0.000000 -0.001898 -4.1800 0 -0.2000 0  533 599 662 658 686 727 750 577  1 1 0 0 0 0 0 0 0 
2.490 2 1 1 0 0.549316 -6.439209 2.014160 0.1603 0.1370 0.1193 0.1181 0.0582 0.0000 0.000000 -0.001248 -4.1800 0 -0.2000 0  522 598 697 667 685 734 760 582  1 1 0 0 0 0 0 0 0 
2.500 2 1 1 0 0.183105 -9.979248 4.791260 0.1783 0.1505 0.1205 0.1651 0.0596 0.0000 0.002591 0.000425 -4.1800 0 -0.2000 0  514 595 678 670 691 708 771 595  1 1 0 0 0 0 0 0 0 
