%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.002 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7 Wheel velocity [m/s] left, right: 0.0430 0.0434
%  8  9 10 11 Pose x,y,h,tilt [m,m,rad,rad]: 0.0234557 0.00259583 0.00259112 0.0357512
% 12 .. 32 Edge sensor: left -2.983517 0, right -0.952187 0, values 562 796 903 911 886 805 771 639, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
% 12 13 Get data time [us]: 100 +ctrl 460
2.152 2 1 1 0 0.0578 0.0378 0.0291 0.0026 -0.007773 0.028907 -2.9835 0 -0.9522 0  570 827 914 930 877 798 768 620  1 1 0 0 0 0 0 0 0 100 460 
2.157 2 1 1 0 0.0333 0.0365 0.0291 0.0026 -0.007773 0.028301 -2.9835 0 -0.9522 0  571 826 917 918 872 794 774 626  1 1 0 0 0 0 0 0 0 100 460 
2.162 2 1 1 0 0.0237 0.0249 0.0291 0.0026 -0.007773 0.029217 -2.9835 0 -0.9522 0  578 829 923 913 878 798 783 625  1 1 0 0 0 0 0 0 0 100 450 
2.167 2 1 1 0 0.0181 0.0209 0.0293 0.0026 -0.005182 0.030037 -2.9835 0 -0.9522 0  610 825 923 913 878 815 774 628  1 1 0 0 0 0 0 0 0 100 450 
2.172 2 1 1 0 0.0149 0.0209 0.0293 0.0026 -0.005182 0.031559 -2.9835 0 -0.9522 0  586 838 925 917 878 824 794 631  1 1 0 0 0 0 0 0 0 100 460 
2.177 2 1 1 0 0.0129 0.0337 0.0297 0.0026 -0.005182 0.033347 -2.9835 0 -0.9522 0  616 846 934 928 883 790 778 629  1 1 0 0 0 0 0 0 0 100 460 
2.182 2 1 1 0 0.0129 0.0337 0.0297 0.0026 -0.005182 0.034999 -2.9835 0 -0.9522 0  607 841 939 921 887 794 778 633  1 1 0 0 0 0 0 0 0 100 450 
2.187 2 1 1 0 0.0619 0.0337 0.0299 0.0026 -0.007773 0.036815 -2.9835 0 -0.9522 0  579 844 942 935 887 804 791 639  1 1 0 0 0 0 0 0 0 100 460 
2.192 2 1 1 0 0.0558 0.0261 0.0301 0.0026 -0.010364 0.037030 -2.9835 0 -0.9522 0  548 852 941 907 892 813 755 644  1 1 0 0 0 0 0 0 0 100 460 
2.197 2 1 1 0 -0.0602 0.0233 0.0301 0.0026 -0.005182 0.036927 -2.9835 0 -0.9522 0  589 849 943 941 890 811 796 642  1 1 0 0 0 0 0 0 0 100 460 
2.202 2 1 1 0 0.0743 0.0233 0.0303 0.0026 -0.007773 0.038139 -2.9835 0 -0.9522 0  598 863 957 947 900 816 801 641  1 1 0 0 0 0 0 0 0 100 470 
2.207 2 1 1 0 0.0743 0.0233 0.0303 0.0026 -0.007773 0.039033 -2.9835 0 -0.9522 0  615 851 947 947 898 812 789 644  1 1 0 0 0 0 0 0 0 100 450 
2.212 2 1 1 0 0.0482 0.0257 0.0307 0.0026 -0.007773 0.040561 -2.9835 0 -0.9522 0  604 867 951 924 894 821 770 649  1 1 0 0 0 0 0 0 0 100 460 
2.217 2 1 1 0 0.0482 0.0257 0.0307 0.0026 -0.007773 0.042411 -2.9835 0 -0.9522 0  586 878 957 923 899 820 790 654  1 1 0 0 0 0 0 0 0 100 450 
2.222 2 1 1 0 0.0418 0.0257 0.0309 0.0026 -0.010364 0.043691 -2.9835 0 -0.9522 0  606 884 958 941 907 816 796 655  1 1 0 0 0 0 0 0 0 100 460 
2.227 2 1 1 0 0.0418 0.0277 0.0311 0.0026 -0.007773 0.044675 -2.9835 0 -0.9522 0  608 868 960 945 909 824 836 655  1 1 0 0 0 0 0 0 0 100 450 
2.232 2 1 1 0 0.0325 0.0277 0.0311 0.0026 -0.007773 0.046461 -2.9835 0 -0.9522 0  607 886 966 975 903 827 780 664  1 1 0 0 0 0 0 0 0 100 460 
2.237 2 1 1 0 0.0229 0.0321 0.0313 0.0026 -0.005182 0.048485 -2.9835 0 -0.9522 0  618 884 970 945 912 836 797 665  1 1 0 0 0 0 0 0 0 100 470 
2.242 2 1 1 0 0.0189 0.0321 0.0315 0.0026 -0.007773 0.050908 -2.9835 0 -0.9522 0  611 896 978 960 916 836 827 667  1 1 0 0 0 0 0 0 0 100 450 
