%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.001 sec
%  2  3 Wheel velocity [m/s] left, right: -0.0627 -0.0454
%  4  5  6  7 Pose x,y,h,tilt [m,m,rad,rad]: -0.000608645 -0.000549157 0.00259112 -0.0153037
%  8 .. 28 Edge sensor: left 1.433686 0, right 4.180000 0, values 519 738 796 812 828 761 733 630, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=20 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
%  8  9 Get data time [us]: 100 +ctrl 460
2.097 -0.0667 -0.0430 -0.0056 -0.0006 0.005182 0.013950 1.4337 0 4.1800 0  552 781 852 859 841 794 815 668  1 1 0 0 0 0 0 20 0 100 460 
2.100 -0.0570 -0.0430 -0.0058 -0.0006 0.007773 0.015691 1.4337 0 4.1800 0  556 785 827 865 871 792 820 669  1 1 0 0 0 0 0 20 0 100 460 
2.103 -0.0570 -0.0486 -0.0060 -0.0006 0.005182 0.017148 1.4337 0 4.1800 0  558 780 841 865 843 792 819 666  1 1 0 0 0 0 0 20 0 100 460 
2.106 -0.0502 -0.0799 -0.0062 -0.0006 0.002591 0.017974 1.4337 0 4.1800 0  553 781 849 868 841 789 822 676  1 1 0 0 0 0 0 20 0 100 470 
2.109 -0.0361 -0.0799 -0.0062 -0.0006 0.002591 0.018816 1.4337 0 4.1800 0  556 793 864 867 848 822 826 673  1 1 0 0 0 0 0 20 0 100 450 
2.112 -0.0285 -0.0590 -0.0062 -0.0006 0.002591 0.019829 1.4337 0 4.1800 0  558 796 867 869 847 816 824 667  1 1 0 0 0 0 0 20 0 100 450 
2.115 -0.0233 -0.0458 -0.0064 -0.0006 0.000000 0.020917 1.4337 0 4.1800 0  568 797 886 873 862 829 819 683  1 1 0 0 0 0 0 20 0 100 410 
2.118 -0.0201 -0.0458 -0.0064 -0.0006 0.000000 0.021883 1.4337 0 4.1800 0  566 799 856 876 854 793 828 670  1 1 0 0 0 0 0 20 0 100 420 
2.121 -0.0173 -0.0458 -0.0064 -0.0006 0.000000 0.022819 1.4337 0 4.1800 0  564 793 872 879 851 807 830 672  1 1 0 0 0 0 0 20 0 100 420 
2.124 -0.0153 -0.0398 -0.0064 -0.0006 0.000000 0.023727 1.4337 0 4.1800 0  565 799 877 877 852 809 827 689  1 1 0 0 0 0 0 20 0 100 420 
2.127 -0.0149 -0.0305 -0.0066 -0.0006 0.002591 0.024392 1.4337 0 4.1800 0  566 798 861 879 861 815 835 658  1 1 0 0 0 0 0 20 0 100 450 
2.130 -0.0149 -0.0249 -0.0066 -0.0006 0.002591 0.024935 1.4337 0 4.1800 0  567 799 870 882 859 799 833 662  1 1 0 0 0 0 0 20 0 100 450 
2.133 -0.0474 -0.0209 -0.0068 -0.0006 0.005182 0.025401 1.4337 0 4.1800 0  569 794 893 884 858 798 833 689  1 1 0 0 0 0 0 20 0 100 470 
2.136 -0.0474 -0.0201 -0.0070 -0.0006 0.002591 0.025812 1.4337 0 4.1800 0  570 803 887 881 857 805 835 668  1 1 0 0 0 0 0 20 0 100 450 
2.139 -0.0912 -0.0201 -0.0072 -0.0006 0.005182 0.026025 1.4337 0 4.1800 0  561 797 879 881 856 807 831 692  1 1 0 0 0 0 0 20 0 100 460 
