%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.007 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 1.0376 5.67627 -6.98853
%  9 10 Wheel velocity [m/s] left, right: -0.0116 -0.0112
% 11 12 13 14 Pose x,y,h,tilt [m,m,rad,rad]: -0.00742998 -0.000129301 -0.00259112 0.00280174
% 15 .. 35 Edge sensor: left -4.180000 0, right -2.068738 0, values 585 831 893 902 867 780 734 580, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
% 15 16 Get data time [us]: 100 +ctrl 480
2.175 2 1 1 0 -0.457764 -1.892090 1.037598 -0.0257 -0.0161 -0.0112 -0.0001 0.000000 0.019862 -4.1800 0 -2.0687 0  615 876 957 955 920 817 781 608  1 1 0 0 0 0 0 0 0 100 450 
2.182 2 1 1 0 0.152588 -4.669189 0.732422 -0.0466 -0.0161 -0.0114 -0.0001 0.002591 0.020191 -4.1800 0 -2.0687 0  619 876 932 927 900 800 764 620  1 1 0 0 0 0 0 0 0 100 470 
2.189 2 1 1 0 -0.610352 -11.352539 1.281738 -0.0297 -0.0145 -0.0114 -0.0001 0.002591 0.021476 -4.1800 0 -2.0687 0  621 881 957 945 922 810 772 614  1 1 0 0 0 0 0 0 0 100 480 
2.196 2 1 1 0 0.640869 -12.847900 5.462646 -0.0197 -0.0129 -0.0116 -0.0001 0.000000 0.022628 -4.1800 0 -2.0687 0  624 883 969 964 918 816 778 617  1 1 0 0 0 0 0 0 0 100 440 
2.203 2 1 1 0 0.305176 -8.392334 3.753662 -0.0145 -0.0129 -0.0116 -0.0001 0.000000 0.023862 -4.1800 0 -2.0687 0  635 880 968 964 927 822 783 614  1 1 0 0 0 0 0 0 0 100 440 
2.210 2 1 1 0 0.579834 -4.150391 2.166748 -0.0116 -0.0129 -0.0116 -0.0001 0.000000 0.024509 -4.1800 0 -2.0687 0  626 862 976 956 917 827 778 596  1 1 0 0 0 0 0 0 0 100 440 
2.217 2 1 1 0 0.091553 -0.640869 0.457764 -0.0096 -0.0129 -0.0118 -0.0001 0.002591 0.024693 -4.1800 0 -2.0687 0  629 889 970 956 910 825 794 621  1 1 0 0 0 0 0 0 0 100 470 
2.224 2 1 1 0 -0.671387 -12.573242 0.305176 -0.0096 -0.0149 -0.0120 -0.0001 0.000000 0.025403 -4.1800 0 -2.0687 0  633 925 975 974 945 827 784 621  1 1 0 0 0 0 0 0 0 100 440 
2.231 2 1 1 0 1.129150 -30.853271 0.793457 -0.0096 -0.0149 -0.0120 -0.0001 0.000000 0.029087 -4.1800 0 -2.0687 0  637 893 980 979 928 831 793 618  1 1 0 0 0 0 0 0 0 100 440 
2.238 2 1 1 0 0.213623 -27.984619 0.335693 -0.0096 -0.0149 -0.0120 -0.0001 0.000000 0.032375 -4.1800 0 -2.0687 0  644 894 991 987 944 840 799 634  1 1 0 0 0 0 0 0 0 100 440 
2.245 2 1 1 0 0.000000 -24.047852 -0.762939 -0.0096 -0.0149 -0.0120 -0.0001 0.000000 0.035371 -4.1800 0 -2.0687 0  653 910 999 993 948 848 807 637  1 1 0 0 0 0 0 0 0 100 440 
2.252 2 1 1 0 0.152588 -20.416260 -2.502441 -0.0096 -0.0120 -0.0120 -0.0001 0.000000 0.037920 -4.1800 0 -2.0687 0  652 913 1003 999 945 849 803 643  1 1 0 0 0 0 0 0 0 100 440 
2.259 2 1 1 0 -2.197266 -16.998291 -2.593994 -0.0092 -0.0100 -0.0120 -0.0001 0.000000 0.039937 -4.1800 0 -2.0687 0  659 918 1007 1007 961 857 816 639  1 1 0 0 0 0 0 0 0 100 440 
2.266 2 1 1 0 -0.518799 -13.153076 -5.340576 -0.0080 -0.0084 -0.0120 -0.0001 0.000000 0.041584 -4.1800 0 -2.0687 0  662 928 1015 1004 970 861 813 651  1 1 0 0 0 0 0 0 0 100 440 
2.273 2 1 1 0 -0.915527 -10.437012 -5.767822 -0.0068 -0.0072 -0.0120 -0.0001 0.000000 0.042781 -4.1800 0 -2.0687 0  665 926 1017 1009 967 863 812 648  1 1 0 0 0 0 0 0 0 100 440 
2.280 2 1 1 0 -0.976562 -10.559082 -3.845215 -0.0060 -0.0064 -0.0120 -0.0001 0.000000 0.043759 -4.1800 0 -2.0687 0  664 931 1024 1009 978 869 817 647  1 1 0 0 0 0 0 0 0 100 440 
2.287 2 1 1 0 0.030518 -12.603760 -1.342773 -0.0056 -0.0056 -0.0120 -0.0001 0.000000 0.044864 -4.1800 0 -2.0687 0  664 936 1024 1014 970 870 823 648  1 1 0 0 0 0 0 0 0 100 440 
2.294 2 1 1 0 -0.610352 -14.404297 2.288818 -0.0048 -0.0052 -0.0120 -0.0001 0.000000 0.046225 -4.1800 0 -2.0687 0  672 945 1032 1017 976 874 825 655  1 1 0 0 0 0 0 0 0 100 440 
2.301 2 1 1 0 0.213623 -14.617920 2.563477 -0.0044 -0.0048 -0.0120 -0.0001 0.000000 0.047796 -4.1800 0 -2.0687 0  669 945 1037 1023 976 877 829 661  1 1 0 0 0 0 0 0 0 100 440 
2.308 2 1 1 0 -0.396729 -14.648438 0.793457 -0.0040 -0.0044 -0.0120 -0.0001 0.000000 0.049473 -4.1800 0 -2.0687 0  674 947 1040 1030 986 880 833 661  1 1 0 0 0 0 0 0 0 100 440 
2.315 2 1 1 0 -0.427246 -16.052246 -1.281738 -0.0040 -0.0040 -0.0120 -0.0001 0.000000 0.051309 -4.1800 0 -2.0687 0  683 954 1083 1039 996 893 840 673  1 1 0 0 0 0 0 0 0 100 440 
2.322 2 1 1 0 -0.091553 -16.967773 -2.105713 -0.0036 -0.0036 -0.0120 -0.0001 0.000000 0.053311 -4.1800 0 -2.0687 0  680 964 1034 1043 993 888 842 653  1 1 0 0 0 0 0 0 0 100 440 
2.329 2 1 1 0 0.091553 -13.214111 4.180908 0.0036 0.0036 -0.0116 -0.0001 0.000000 0.054546 -4.1800 0 -2.0687 0  684 963 1038 1047 1021 890 842 676  1 1 0 0 0 0 0 0 0 100 440 
2.336 2 1 1 0 -0.396729 -6.866455 1.831055 0.0036 0.0466 -0.0114 -0.0001 0.002591 0.055412 -4.1800 0 -2.0687 0  689 971 1068 1047 992 896 845 663  1 1 0 0 0 0 0 0 0 100 480 
2.343 2 1 1 0 0.244141 -8.972168 -1.007080 0.0233 0.0410 -0.0112 -0.0001 0.000000 0.056345 -4.1800 0 -2.0687 0  693 970 1060 1051 1012 883 849 677  1 1 0 0 0 0 0 0 0 100 440 
2.350 2 1 1 0 0.854492 -11.138916 8.758545 0.0233 0.0237 -0.0112 -0.0001 0.000000 0.057003 -4.1800 0 -2.0687 0  691 968 1065 1053 1013 912 852 676  1 1 0 0 0 0 0 0 0 100 440 
2.357 2 1 1 0 1.220703 -8.636475 12.634277 0.0365 0.0181 -0.0108 -0.0001 0.000000 0.057750 -4.1800 0 -2.0687 0  696 974 1077 1058 1012 907 852 700  1 1 0 0 0 0 0 0 0 100 440 
2.364 2 1 1 0 1.129150 -7.324219 1.495361 0.0313 0.0181 -0.0108 -0.0001 0.000000 0.058905 -4.1800 0 -2.0687 0  701 980 1085 1054 1013 943 855 666  1 1 0 0 0 0 0 0 0 100 440 
2.371 2 1 1 0 1.251221 -9.765625 9.063721 0.0305 0.0181 -0.0106 -0.0001 -0.002591 0.059684 -4.1800 0 -2.0687 0  667 984 1045 1060 1025 865 852 679  1 1 0 0 0 0 0 0 0 100 460 
2.378 2 1 1 0 0.549316 -3.967285 10.681152 0.0570 0.0209 -0.0102 -0.0001 -0.002591 0.059910 -4.1800 0 -2.0687 0  698 984 1069 1057 1022 916 854 682  1 1 0 0 0 0 0 0 0 100 480 
2.385 2 1 1 0 0.640869 -5.218506 0.671387 0.0341 0.0209 -0.0100 -0.0001 -0.005182 0.060666 -4.1800 0 -2.0687 0  694 984 1053 1060 1019 902 851 683  1 1 0 0 0 0 0 0 0 100 470 
2.392 2 1 1 0 0.396729 -12.603760 2.502441 0.0635 0.0285 -0.0096 -0.0001 -0.005182 0.061784 -4.1800 0 -2.0687 0  696 979 1095 1063 1021 881 856 682  1 1 0 0 0 0 0 0 0 100 480 
2.399 2 1 1 0 0.061035 -3.082275 1.586914 0.0663 0.0546 -0.0092 -0.0001 -0.005182 0.062559 -4.1800 0 -2.0687 0  706 988 1050 1064 1018 906 855 681  1 1 0 0 0 0 0 0 0 100 470 
2.406 2 1 1 0 0.183105 3.112793 1.892090 0.0446 0.0514 -0.0088 -0.0001 -0.005182 0.061793 -4.1800 0 -2.0687 0  691 984 1082 1057 1019 906 857 690  1 1 0 0 0 0 0 0 0 100 470 
2.413 2 1 1 0 -0.213623 -0.793457 0.213623 0.0643 0.0582 -0.0084 -0.0001 -0.005182 0.061763 -4.1800 0 -2.0687 0  703 985 1080 1064 1023 903 846 689  1 1 0 0 0 0 0 0 0 100 470 
2.420 2 1 1 0 0.549316 8.972168 1.190186 0.0787 0.0747 -0.0080 -0.0001 -0.005182 0.060886 -4.1800 0 -0.8126 0  708 979 1077 1064 1016 902 853 680  1 1 0 0 0 0 0 0 0 100 480 
2.427 2 1 1 0 0.091553 8.972168 1.800537 0.0723 0.0851 -0.0072 -0.0001 -0.005182 0.059256 -4.1800 0 -0.8126 0  689 976 1070 1057 1008 904 853 682  1 1 0 0 0 0 0 0 0 100 480 
2.434 2 1 1 0 0.335693 3.448486 2.197266 0.0904 0.1004 -0.0068 -0.0001 -0.005182 0.058752 -4.1800 0 -0.8126 0  684 972 1055 1054 1005 903 852 685  1 1 0 0 0 0 0 0 0 100 480 
2.441 2 1 1 0 0.793457 11.901855 -0.366211 0.0876 0.0719 -0.0060 -0.0001 -0.005182 0.057520 -4.1800 0 -0.8126 0  697 963 1058 1054 1004 911 818 683  1 1 0 0 0 0 0 0 0 100 470 
2.448 2 1 1 0 1.007080 7.690430 6.500244 0.0884 0.0799 -0.0056 -0.0002 -0.005182 0.055716 -4.1800 0 -0.8126 0  666 963 1062 1035 996 904 856 681  1 1 0 0 0 0 0 0 0 100 480 
2.455 2 1 1 0 1.342773 11.871338 1.007080 0.1137 0.1149 -0.0048 -0.0002 -0.005182 0.054682 -4.1800 0 -0.8126 0  664 965 1036 1043 990 892 838 679  1 1 0 0 0 0 0 0 0 100 470 
2.462 2 1 1 0 0.762939 19.012451 -0.213623 0.1145 0.0779 -0.0040 -0.0002 -0.005182 0.052372 -4.1800 0 -0.8126 0  676 953 1042 1024 986 874 849 675  1 1 0 0 0 0 0 0 0 100 490 
2.469 2 1 1 0 0.244141 8.178711 4.882812 0.0972 0.1438 -0.0032 -0.0002 -0.005182 0.050449 -4.1800 0 -0.8126 0  688 954 1045 1043 974 861 833 672  1 1 0 0 0 0 0 0 0 100 480 
2.476 2 1 1 0 1.312256 7.446289 -1.647949 0.1474 0.1213 -0.0024 -0.0002 -0.005182 0.049992 -4.1800 0 -0.8126 0  645 947 1033 974 965 868 803 672  1 1 0 0 0 0 0 0 0 100 480 
2.483 2 1 1 0 2.746582 21.820068 0.396729 0.1004 0.1044 -0.0014 -0.0002 -0.007773 0.047837 -4.1800 0 -0.8126 0  645 929 1027 1010 960 850 825 675  1 1 0 0 0 0 0 0 0 100 480 
2.490 2 1 1 0 -1.464844 28.137207 9.368896 0.0815 0.1237 -0.0008 -0.0002 -0.005182 0.043697 -4.1800 0 -0.8126 0  649 922 1012 1023 943 845 840 679  1 1 0 0 0 0 0 0 0 100 480 
2.497 2 1 1 0 1.312256 18.646240 3.112793 0.1161 0.1261 -0.0000 -0.0002 -0.005182 0.041405 -4.1800 0 -0.8126 0  680 882 1002 1000 927 845 811 662  1 1 0 0 0 0 0 0 0 100 470 
2.504 2 1 1 0 0.915527 12.573242 6.164551 0.1723 0.1297 0.0010 -0.0002 -0.007773 0.039452 -4.1800 0 -0.8126 0  661 908 994 946 924 832 814 663  1 1 0 0 0 0 0 0 0 100 490 
2.511 2 1 1 0 -1.525879 20.233154 -2.166748 0.1659 0.1209 0.0022 -0.0002 -0.007773 0.037977 -4.1800 0 -0.8126 0  630 905 983 972 918 827 828 661  1 1 0 0 0 0 0 0 0 100 470 
2.518 2 1 1 0 2.197266 29.510498 4.943848 0.1076 0.1181 0.0030 -0.0002 -0.007773 0.033981 -4.1800 0 -0.8126 0  634 887 974 981 903 814 794 653  1 1 0 0 0 0 0 0 0 100 490 
2.525 2 1 1 0 -1.556396 20.141602 3.509521 0.0843 0.1337 0.0036 -0.0002 -0.005182 0.031409 -4.1800 0 -0.8126 0  615 861 962 927 894 812 791 644  1 1 0 0 0 0 0 0 0 100 470 
2.532 2 1 1 0 -0.244141 11.505127 6.164551 0.1743 0.1611 0.0048 -0.0002 -0.005182 0.029356 -4.1800 0 -0.8126 0  637 877 955 942 897 806 777 649  1 1 0 0 0 0 0 0 0 100 490 
2.539 2 1 1 0 0.122070 17.944336 -6.713867 0.2088 0.1189 0.0060 -0.0002 -0.010364 0.027928 -4.1800 0 -0.8126 0  618 873 946 925 879 801 796 652  1 1 0 0 0 0 0 0 0 100 480 
2.546 2 1 1 0 0.000000 24.353027 0.610352 0.1253 0.1237 0.0068 -0.0002 -0.010364 0.025057 -4.1800 0 -0.8126 0  615 843 935 920 874 799 788 639  1 1 0 0 0 0 0 0 0 100 480 
2.553 2 1 1 0 -0.213623 15.594482 3.753662 0.1016 0.1731 0.0078 -0.0002 -0.007773 0.022172 -4.1800 0 -0.8126 0  602 856 926 906 871 789 773 633  1 1 0 0 0 0 0 0 0 100 480 
2.560 2 1 1 0 1.800537 19.744873 -4.394531 0.1707 0.1353 0.0088 -0.0003 -0.005182 0.020452 -4.1800 0 -0.8126 0  597 848 918 913 859 791 786 627  1 1 0 0 0 0 0 0 0 100 480 
2.567 2 1 1 0 2.441406 21.911621 -10.253906 0.1659 0.1289 0.0100 -0.0003 -0.010364 0.018292 -4.1800 0 -0.8126 0  594 851 909 893 866 786 766 604  1 1 0 0 0 0 0 0 0 100 480 
2.574 2 1 1 0 -0.213623 23.345947 2.624512 0.1197 0.1731 0.0110 -0.0003 -0.007773 0.014588 -4.1800 0 -0.8126 0  586 832 901 907 852 781 745 633  1 1 0 0 0 0 0 0 0 100 490 
2.581 2 1 1 0 0.213623 21.118164 -4.211426 0.1623 0.1550 0.0120 -0.0003 -0.005182 0.012622 -4.1800 0 -0.8126 0  576 817 883 876 855 780 770 611  1 1 0 0 0 0 0 0 0 100 480 
